date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-02, Sales,"Toronto, ON",Current Employee,Great,"Great place to work when remote
","Non that I can currently think of
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-10-02, Senior Consultant,"New York, NY","Former Employee, more than 1 year",Great training,,"ltant in New York, NY
Recommend
CEO Approval
Business Outlook
Pros
Big resources
A lot of training 
Good work / life balance
Cons
very big , like working for a government
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Agree
2021-10-02, Senior Software Engineer,,"Current Employee, more than 8 years",VERY GOOD,"NICE ENV very good projects
","nothing as of now. NOT
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-02, O365 Administrator,Mumbai,"Current Employee, more than 10 years",Skill oriented,"Career based, learning base, flexible work culture
","Financial growth, salary hike ,
Advice to Management
No comments
Be the first to find this review helpful
Helpful
Share
Repor","No comments
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-10-02, Senior Sdm,,Current Employee,Stable company to work for,"Great environment to learn and grow
","Monetary compensation not up to the mark
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-10-02, Sterling Commerce,Bangalore,Current Employee,Good company,"No work pressure for mothers. No night shift jobs. Mostly good clients and managers.
","Won't have much appraisals and benefits.Its a big company with lot of employees to manage.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-10-01, Software Applications Developer,"Raleigh, NC",Current Employee,Good Company with job security,"Ability to learn on the job, flexible schedule, work/life balance
","pay not as good as larger tech firms
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-10-01, Senior Site Reliability Engineer,"Raleigh, NC","Current Employee, more than 1 year",Big Blue gets brighter,"Culture is really coming along at IBM. Parts of the company have done a lot to advance towards current trends. There has been solid flexibility during the pandemic, and tons of support.
","Like all giant corporations, change is slow. Leadership often feels the need to validate their existence by micromanaging. That is slowly going by the wayside, but patience is a must if you seek to make a worthwhile career at IBM.
Advice to Management
Growing a team doesn’t always mean adding a manager. Empower your teams, advance from within, and continue towards an open and honest culture.
Be the first to find this review helpful
Helpful
Share
Repor","Growing a team doesn’t always mean adding a manager. Empower your teams, advance from within, and continue towards an open and honest culture.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Neutral,Agree
2021-10-01, Associate Client Service Professional II,"Baton Rouge, LA","Former Employee, more than 1 year",Its OK go for it !,"Foot in the door! Lots of travel for the ambitious. Networking Opp!
","Low pay. Tyrant management. Not working there anymore.
Advice to Management
Rehire me I promise I will do better! LOL
Be the first to find this review helpful
Helpful
Share
Repor","Rehire me I promise I will do better! LOL
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Neutral,Agree
2021-10-01, Sales Representative,"Aiken, SC",Former Employee,Good Company with less than competitive products,"IBM is good to its employees
","moves very slowly in a quickly evolving tech landscape.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-10-01, Managing Consultant,Calcutta,"Former Employee, more than 3 years",N/A...,,"ltant in Calcutta
Recommend
CEO Approval
Business Outlook
Pros
Good For Learning and Training
Cons
Less pay as current market standard
Advice to Management
N/A...
Be the first to find this review helpful
Helpful
Share
Repor","N/A...
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Neutral,Agree
