date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Fraud Prevention Specialist,Cork,"Current Employee, more than 5 years",good company but can do much better,"Great benefits and environment to perform well
","career advancement can be challenging especially cross departments
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2021-10-01,Anonymous,,Former Employee,Great,"Sport, Lunch, Dentist, Massages, Flexibility
","Ireland : a lot of rain, all around the year.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-01, Software Development Engineer (SDE1),Benglat,"Former Employee, more than 1 year",Best,"Work Culture is best in class
","Nothing as such experienced there
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30, Content Specialist,"Culver City, CA",Current Employee,Good Benefits w/ Awful Culture,"Amenities, Health Insurance & Discounts
","Awful culture, elitist, and lacking diversity.
Advice to Management
More people of color!
2 people found this review helpful
Helpful
Share
Repor","More people of color!
2 people found this review helpful
Helpful
Share
Repor",3.0,Disagree,Agree,Neutral
2021-09-30, Ops Specialist,"New York, NY",Current Employee,Cool job,"Great people and benefits, flexible schedule
","Customers can be mean to employees on the floor
Advice to Management
Empathy
Be the first to find this review helpful
Helpful
Share
Repor","Empathy
Be the first to find this review helpful
Helpful
Share
Repor",5.0,N/A,N/A,N/A
2021-09-30, Sales Support Representative,"Austin, TX","Former Employee, more than 10 years",Lots of overtime opportunities,"There’s plenty of overtime opportunities during quarter end and Apple pay’s for your dinner during your shift. A Beer Bash is held almost every quarter. Lots of opportunities to cross train with different departments, even if it’s shadow time for a few days.
","If you stay in one department for too long, it’s harder to move upward within that group.
Advice to Management
Spend more time on the floor supporting your teams instead of letting your team lead fill in for you.
Be the first to find this review helpful
Helpful
Share
Repor","Spend more time on the floor supporting your teams instead of letting your team lead fill in for you.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Agree,Agree
2021-09-30, Technical Specialist,,"Former Employee, less than 1 year","Coworkers were great, customers were the worst","My coworkers were all amazing, kind, and talented individuals. The team was very supportive and it was easy to talk to everyone. The managers really cared about the team and it showed. The pay was nice, we received a lump sum discount ($500, I think every 1-2 years) and a 10-15% discount (also applicable to family and friends).
","The customers were the worst part about the job. I was anxious to go to work everyday. Don't get me wrong, sometimes you'd get customers that were great and you'd get along with them well. However, it's the bad ones that stick. A lot of people will bend their phones or void their warranty and take it out on you. My coworkers were surprised that I didn't cry because of a customer during my time at Apple. The worst part about these customers is that they get sent a survey to rate you. If you get bad reviews, management will come to talk to you. 

On Christmas Eve, I once had a customer shove a watch band in my face and not say anything. No questions, no request to buy it, they just expected me to read their mind (I'm supposed to fix the phones too, not sell merchandise). I did it anyway so they wouldn't have to wait awhile. In return, I got a 1/5 star review without any comments.

Another gripe is the amount of work you need to do. You must do a minimum of 20 hours as part time. If you want a day off, you better be requesting that MONTHS in advance. Otherwise, tough luck. Best believe you will be working on all of the holidays. Black Friday is the worst.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Neutral,Neutral
2021-09-30, Red Zone Specialist,,Former Employee,Worked with a great group of people!,"So many different people with different backgrounds all coming together with the same mission.
","Not any I can think of!
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Specialist,"New York, NY","Current Employee, more than 1 year",A great company,"Work environment is the best! The workers are like family and you're treated as such.
","Thinks can get repetitive since you'll be doing the same thing however there's room to venture into other skills and positions.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Creative Pro,"Edmonton, AB",Current Employee,Curious,"Nice, talented people, great environment
","Not very transparent when big decisions are made
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Specialist,"Chicago, IL","Current Employee, less than 1 year",Apple Specialist Review,"Benefits, hourly wage, good community
","Location and the slow hiring process
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Software Quality Engineer,"Cupertino, CA",Current Employee,Good,"Good work life balance, good manager.
","not fast forward, some team can be boring.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Manager,"Gainesville, FL",Current Employee,Amazing love it have grown so much here,"-benefits
-401 match
-dental coverage that is superb
","-growth can also feel limited in terms of salary or pay
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Apple Genius,,"Current Employee, more than 8 years",Great Job,"Training is great, interesting work helping owners resolve their issues.
","Work is fast paced, not for everyone.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Tech Specialist,"New Haven, CT",Former Employee,Apple Inc,"Culture, Decent pay, Merit reviews, benefits
","Management, Work life balance, Schedule
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Specialist,Sha Tin,"Current Employee, more than 5 years",Pay more than you get,"Work life balance if u r specialist
","Focus on numbers only eg push customer buy apple care
Advice to Management
Don’t lie yrself speak the truth don’t pack a drug like a candy
Be the first to find this review helpful
Helpful
Share
Repor","Don’t lie yrself speak the truth don’t pack a drug like a candy
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-30, Sales,,"Current Employee, less than 1 year",Good stuff,"Apple is fun to work for!
","Corporate. That’s all, just corporate.
1 person found this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30,Anonymous,,Current Employee,Descent compensation / Not good WLB,"- Descent compensation
- Being exposed to big system
- Feeling proud of working at Apple
","- Not good work & life balance
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Genius,"Houston, TX",Former Employee,Sucks,"Fun ppl to work with
","Bad management and company overall
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2021-09-30, Manager,Sydney,"Former Employee, less than 1 year",Be careful,"Salary and country. I moved to Australia.
","Be very careful what you wish for. The grass isn’t always greener.
Advice to Management
Listen to your people. Steve Jobs didn’t have the same philosophy as what is actually going on.
Be the first to find this review helpful
Helpful
Share
Repor","Listen to your people. Steve Jobs didn’t have the same philosophy as what is actually going on.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Disagree,Disagree
2021-09-30, Recruiter,"Miami, FL","Current Employee, more than 8 years",Recruiter,"Great company to work for. Great challenges and great leaders - Company Values are No. 1.
","Sometimes the work balance in difficult as there is a lot to do. Need to prioritization all the time
Advice to Management
See around corners.
Be the first to find this review helpful
Helpful
Share
Repor","See around corners.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-30, Technical Advisor,"Sacramento, CA",Former Employee,The 411 of working for Apple,"Lots of Holiday pay, personal discounts for apple products, Family/friends discount, attend beer bashes
","A lot of favoritism, managers tend to be very bosshole like, not a lot of growth opportunities, pay sucks and even the raise isn't that great.
Advice to Management
When you say you guys are here to help your employees, please mean it. Also pay Apple employees, especially the Spanish org, the pay they actual deserve since they do twice the work/calls. Stop acting like a strict manager to your team and show them that they can move up in Apple.
Be the first to find this review helpful
Helpful
Share
Repor","When you say you guys are here to help your employees, please mean it. Also pay Apple employees, especially the Spanish org, the pay they actual deserve since they do twice the work/calls. Stop acting like a strict manager to your team and show them that they can move up in Apple.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Disagree,Disagree
2021-09-29, Technical Expert,"Miami, FL","Current Employee, more than 3 years",Good!,"Pay Benefits Culture People Hours
","Work Balance Customers Expectations Commute Soft Skills
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-29, Manufacturing,Cork,Former Employee,Good company,"Well paid and very nice atmosphere.
","Not to much to improve.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Customer Service Advisor,,Current Employee,Great benefit and flexible working time,"-Offer health (medical, vision, dental) insurance, sick pay, holiday pay, 401k, employee stock purchase even when you just work part time
","-Stressful job with frustrate customers
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Hardware Engineering Manager,"Cupertino, CA",Current Employee,Great focus on product design and quality,"- Emphasis on technical rigor and depth
- Surrounded by highly capable folks with great technical insight
","- Work life balance is not great
- Politics is starting to get in the way of execution
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-29, Customer Support,,"Current Employee, more than 8 years",Good benefits,"Good benefits and good co workers.
","Schedule working weekend and late
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-09-29, Mac Specialist (Apple Store),"Holyoke, MA",Current Employee,I like it but,"Most of the people are great. Benefits for part timers are good.
","Seems the company is more interested in numbers and metrics and less on customer care than it used to be. Need better compensation
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-29,Anonymous,,Current Employee,Best Retail Work Environment,"Great benefits, top work experience compared to other retailers.
","Could have more career paths or clearer path to corporate from retail.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-09-29, Human Resources Generalist,,"Former Employee, more than 1 year",Work,"Paid time off
Benefits
Pensions
Pay
Hours 
Job
Paid time off
Benefits
Pensions
Pay
Hours 
Job
","No growth
Stuck
Work environment 
Stress
Job
Paid time off
Benefits
Pensions
Pay
Hours 
Job
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Disagree,Disagree
2021-09-29, Apple Retail Specialist,,Current Employee,Good place to work,"-good benefits
- great pay
- even better team members
","work can get kind of hectic at times.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Operations Lead,"London, England, England",Current Employee,Excellent company,"Generous, caring about employees and customer service
","Not all employees deserve the amount of care Apple provides them, so feels demotivating when the person next to you gets paid the same but takes liberties.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Business Leader,"Cupertino, CA","Former Employee, more than 8 years",Great Place to work,"Products / people/ culture are all amazing
","They Don't have a clue how to sell to business
Advice to Management
Focus on results! Pay commissions
Be the first to find this review helpful
Helpful
Share
Repor","Focus on results! Pay commissions
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Agree,Neutral
2021-09-29, Applecare At Home Advisor,,Former Employee,Applecare Advisor,"Great learning how to be part of a team
","Sucks sometimes, Tim Cook send me an email and fired me
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Consultant,Megh Simul,Former Employee,Consultant,,"ltant
29 Sept 2021 - Consultant in Megh Simul
Recommend
CEO Approval
Business Outlook
Pros
very good company and repute
Cons
bad and toxic work environment, unsustainable practices
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Software Developer,,Former Employee,Very good job,"Good teamwork and good formation
","No one very good Enterprise
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Technician,"Pasadena, CA",Current Employee,Good before Covid,"Good benefits for part time
","No upward mobility within retail
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Technical Support Specialist,,"Former Employee, more than 3 years",None,"Work from home and benefits
","Micromanagement, many managers, not enough team in Tera room
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-28, Pension Administrator,Adelaide,"Former Employee, less than 1 year",Good,"It was good most of the time
","Some times it wasnt good
Advice to Management
More waifu pillows in the break room
Be the first to find this review helpful
Helpful
Share
Repor","More waifu pillows in the break room
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Agree,Agree
2021-09-28, Technical Specialist,"Baltimore, MD",Current Employee,Great benefits.,"great pay.
great benefits. 
Flexible hours.
","conflicts with management.
stressful and busy.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Genius Administrator,,"Current Employee, more than 3 years",Nice to work with the whole team,"-apple culture
- great team
- medical insurance
-stocks
","- 1day paid leave is only 4h work
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Apple Advisor,"Dublin, Dublin",Current Employee,Ok,"Great working here. Incredible experience
","I don’t think there is any cons
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-28, Senior Software Engineer,,Former Employee,Was great,"High salary Work space great
","Didn’t get to see family much
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-28, Operations Specialist,"Boston, MA","Current Employee, more than 5 years",eh,"Good health insurance, student benefits, and commuter benefits
","Management, meaningless work, poorly run store
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-09-28, Operations Analyst,Singapore,"Current Employee, more than 1 year",ok,"Good exposure, Apple culture, competitive environment
","Weekend work, lack of career progression, compensation
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Sales,"Wes, OK","Former Employee, more than 1 year",Good,"Good pay but could be stressful at times
","none was a pleasant experience
Advice to Management
None that i can think of
Be the first to find this review helpful
Helpful
Share
Repor","None that i can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,N/A,Agree
2021-09-28, Manager,"Seattle, WA",Former Employee,Bureaucratic,"Compensation
Physical Environment
Opportunities to discuss new innovations
","Exec Leadership vision and direction
Focus: too many pivots and distractions
Prioritization and realistic schedules.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
